"Domain1","Domain2","Task1","Task2","GP","PC"
"decoding","decoding","nara_acc_bstd_f9","read_comb_bstd_f9",0.84,0.6
"decoding","fluency","nara_acc_bstd_f9","nara_rate_bstd_f9",0.69,0.14
"decoding","fluency","read_comb_bstd_f9","nara_rate_bstd_f9",0.59,0.21
"decoding","comprehension","nara_acc_bstd_f9","wold_comp_bstd_f8",0.29,0.01
"decoding","comprehension","read_comb_bstd_f9","wold_comp_bstd_f8",0.23,0.06
"decoding","vocabulary","nara_acc_bstd_f9","wold_vcb_bstd_f8",0.42,-0.01
"decoding","vocabulary","nara_acc_bstd_f9","wisc_vcb_bstd_f8",0.45,-0.02
"decoding","vocabulary","read_comb_bstd_f9","wold_vcb_bstd_f8",0.37,0.04
"decoding","vocabulary","read_comb_bstd_f9","wisc_vcb_bstd_f8",0.37,0.01
"decoding","execfun","nara_acc_bstd_f9","wisc_bwsp_bstd_f8",0.35,0.26
"decoding","execfun","nara_acc_bstd_f9","cntsp_span_bstd_f10",0.34,0.04
"decoding","execfun","nara_acc_bstd_f9","teach_slct_bstd_f8",0.13,0.03
"decoding","execfun","nara_acc_bstd_f9","teach_divd_bstd_f8",0.15,-0.05
"decoding","execfun","nara_acc_bstd_f9","teach_ctr_bstd_f8",0.09,-0.01
"decoding","execfun","read_comb_bstd_f9","wisc_bwsp_bstd_f8",0.32,0.23
"decoding","execfun","read_comb_bstd_f9","cntsp_span_bstd_f10",0.32,0.1
"decoding","execfun","read_comb_bstd_f9","teach_slct_bstd_f8",0.12,0.07
"decoding","execfun","read_comb_bstd_f9","teach_divd_bstd_f8",0.13,-0.04
"decoding","execfun","read_comb_bstd_f9","teach_ctr_bstd_f8",0.1,-0.01
"decoding","hyperactivity","nara_acc_bstd_f9","sdq_hyp_prnt_ku",-0.28,-0.17
"decoding","hyperactivity","read_comb_bstd_f9","sdq_hyp_prnt_ku",-0.25,-0.1
"decoding","nonverbal","nara_acc_bstd_f9","wisc_pcmp_bstd_f8",0.17,0
"decoding","nonverbal","nara_acc_bstd_f9","wisc_code_bstd_f8",0.26,0.14
"decoding","nonverbal","nara_acc_bstd_f9","wisc_parr_bstd_f8",0.14,-0.09
"decoding","nonverbal","nara_acc_bstd_f9","wisc_bloc_bstd_f8",0.26,-0.09
"decoding","nonverbal","nara_acc_bstd_f9","wisc_obja_bstd_f8",0.19,-0.03
"decoding","nonverbal","read_comb_bstd_f9","wisc_pcmp_bstd_f8",0.17,0.07
"decoding","nonverbal","read_comb_bstd_f9","wisc_code_bstd_f8",0.22,0.04
"decoding","nonverbal","read_comb_bstd_f9","wisc_parr_bstd_f8",0.11,0.03
"decoding","nonverbal","read_comb_bstd_f9","wisc_bloc_bstd_f8",0.24,0.06
"decoding","nonverbal","read_comb_bstd_f9","wisc_obja_bstd_f8",0.18,0.08
"fluency","vocabulary","nara_rate_bstd_f9","wold_vcb_bstd_f8",0.34,0.03
"fluency","vocabulary","nara_rate_bstd_f9","wisc_vcb_bstd_f8",0.4,0.09
"fluency","execfun","nara_rate_bstd_f9","wisc_bwsp_bstd_f8",0.25,0.12
"fluency","execfun","nara_rate_bstd_f9","cntsp_span_bstd_f10",0.28,0.18
"fluency","execfun","nara_rate_bstd_f9","teach_slct_bstd_f8",0.12,-0.02
"fluency","execfun","nara_rate_bstd_f9","teach_divd_bstd_f8",0.11,-0.13
"fluency","execfun","nara_rate_bstd_f9","teach_ctr_bstd_f8",0.05,0
"fluency","hyperactivity","nara_rate_bstd_f9","sdq_hyp_prnt_ku",-0.2,-0.03
"fluency","nonverbal","nara_rate_bstd_f9","wisc_pcmp_bstd_f8",0.12,0.04
"fluency","nonverbal","nara_rate_bstd_f9","wisc_code_bstd_f8",0.26,0.14
"fluency","nonverbal","nara_rate_bstd_f9","wisc_parr_bstd_f8",0.13,0.03
"fluency","nonverbal","nara_rate_bstd_f9","wisc_bloc_bstd_f8",0.2,-0.07
"fluency","nonverbal","nara_rate_bstd_f9","wisc_obja_bstd_f8",0.14,0.05
"comprehension","decoding","nara_comp_bstd_f9","nara_acc_bstd_f9",0.83,0.29
"comprehension","decoding","nara_comp_bstd_f9","read_comb_bstd_f9",0.73,0.39
"comprehension","fluency","nara_comp_bstd_f9","nara_rate_bstd_f9",0.62,-0.05
"comprehension","fluency","wold_comp_bstd_f8","nara_rate_bstd_f9",0.29,0.11
"comprehension","comprehension","nara_comp_bstd_f9","wold_comp_bstd_f8",0.42,0.13
"comprehension","vocabulary","nara_comp_bstd_f9","wold_vcb_bstd_f8",0.5,0.06
"comprehension","vocabulary","nara_comp_bstd_f9","wisc_vcb_bstd_f8",0.55,-0.04
"comprehension","vocabulary","wold_comp_bstd_f8","wold_vcb_bstd_f8",0.39,0.4
"comprehension","vocabulary","wold_comp_bstd_f8","wisc_vcb_bstd_f8",0.4,0.34
"comprehension","execfun","nara_comp_bstd_f9","wisc_bwsp_bstd_f8",0.32,0.17
"comprehension","execfun","nara_comp_bstd_f9","cntsp_span_bstd_f10",0.34,0.13
"comprehension","execfun","nara_comp_bstd_f9","teach_slct_bstd_f8",0.15,0.04
